お兄さん,おにいさん
岸,きし
嵐,あらし
川,かわ
州,しゅう
州,す
巣,す
左右,さゆう
巨大,きょだい
差,さ
差別,さべつ
市,いち
市場,いちば
布,ぬの
希望,きぼう
帯,おび
帰宅,きたく
常に,つねに
常識,じょうしき
幅,はば
幕,まく
平ら,たいら
平和,へいわ
平均,へいきん
平等,びょうどう
年中,ねんじゅう
年代,ねんだい
年寄,としより
年月,としつき(ねんげつ）
年月,ねんげつ
年間,ねんかん
年齢,ねんれい
幸い,さいわい
幸せ,しあわせ
幸福,こうふく
幸運,こううん
幼い,おさない
幾つ,いくつ
幾ら,いくら
広がる,ひろがる
広告,こうこく
床,ゆか
底,そこ
度,たび
度,ど
座席,ざせき
延期,えんき
建築,けんちく
建設,けんせつ
弁当,べんとう
式,しき
引っ張る,ひっぱる
引用,いんよう
引退,いんたい
張る,はる
強力,きょうりょく
強盗,ごうとう
強調,きょうちょう
弾,たま
当たる,あたる
当てる,あてる
当時,とうじ
影,かげ
影響,えいきょう
役,やく
役割,やくわり
彼等,かれら
後,ご
後,のち
後ろ,うしろ
後者,こうしゃ
徐々に,じょじょに
従う,したがう
従兄弟,いとこ
得る,うる
得る,える
得意,とくい
御,お
微妙,びみょう
微笑む,ほほえむ
徹夜,てつや
徹底,てってい
心理,しんり
心臓,しんぞう
心配,しんぱい・する
必ずしも,かならずしも
必死,ひっし
応じる,おうじる
快適,かいてき
思い出,おもいで
思わず,おもわず
思想,しそう
怠ける,なまける
急に,きゅうに
急激,きゅうげき
急速,きゅうそく
性,せい
性格,せいかく
怪我,けが・する
恋,こい
恋人,こいびと
恐れる,おそれる
恐ろしい,おそろしい
恐怖,きょうふ
恩,おん
息,いき
患者,かんじゃ
悩む,なやむ
悪口,わるくち
悪魔,あくま
悲しむ,かなしむ
悲劇,ひげき
情報,じょうほう
想像,そうぞう
愉快,ゆかい
意外,いがい
意志,いし
意思,いし
意識,いしき
愛,あい
愛する,あいする
愛情,あいじょう
感じ,かんじ
感じる,かんじる
感動,かんどう
感心,かんしん
感情,かんじょう
感覚,かんかく
感謝,かんしゃ
態度,たいど
慎重,しんちょう
憲法,けんぽう
成る,なる
成人,せいじん
成功,せいこう
成績,せいせき
成長,せいちょう
我々,われわれ
我慢,がまん
或,ある
戦い,たたかい
戦う,たたかう
戻す,もどす
所為,せい
手伝い,てつだい
手品,てじな
手段,しゅだん
手術,しゅじゅつ
手間,てま
才能,さいのう
打つ,ぶつ
扱う,あつかう
批判,ひはん
批評,ひひょう
承知,しょうち・する
承認,しょうにん
技師,ぎし
投票,とうひょう
抜く,ぬく
抜ける,ぬける
抱える,かかえる
抱く,いだく
抵抗,ていこう
担当,たんとう
拍手,はくしゅ
招く,まねく
招待,しょうたい・する
拡大,かくだい
持ち上げる,もちあげる
指す,さす
指導,しどう
振る,ふる
捕まる,つかまる
掃除,そうじ/そうじする
掛かる,かかる
推薦,すいせん
掲示,けいじ
掴む,つかむ
描く,えがく
描く,かく
提出,ていしゅつ
提案,ていあん
握る,にぎる
握手,あくしゅ
援助,えんじょ
損,そん
損害,そんがい
撃つ,うつ
操作,そうさ
支える,ささえる
支出,ししゅつ
支店,してん
支度,したく・する
支払,しはらい
支払う,しはらう
支給,しきゅう
支配,しはい
改善,かいぜん
攻撃,こうげき
放す,はなす
放送/放送する,ほうそう・する
政府,せいふ
故郷,こきょう
故障,こしょう
救う,すくう
救助,きゅうじょ
教師,きょうし
教授,きょうじゅ
教科書,きょうかしょ
散歩,さんぽ
敬意,けいい
数,かず
数,すう
数える,かぞえる
数字,すうじ
整理,せいり
敵,てき
文,ぶん
文句,もんく
文字,もじ
文字,もんじ
文明,ぶんめい
料金,りょうきん
断る,ことわる
新た,あらた
新鮮,しんせん
方,ほう
方々,かたがた
方々,ほうぼう
方向,ほうこう
方法,ほうほう
旅,たび
旗,はた
既に,すでに
日,にち
日中,にっちゅう
日付,ひづけ
日光,にっこう
日常,にちじょう
日曜,にちよう
日本,にっぽん・にほん
旧,きゅう
昇る,のぼる
明かり,あかり
明ける,あける
明らか,あきらか
明後日,みょうごにち
明確,めいかく
是非,ぜひ
昼食,ちゅうしょく
時,とき
時刻,じこく
時期,じき
普段,ふだん
景気,けいき
暖かい,あたたか(い)
暗記,あんき
暮らし,くらし
暮らす,くらす
暮れ,くれ
曇,くもり
曜日,ようび
更に,さらに
書斎,しょさい
書物,しょもつ
書類,しょるい
替える/換える,かえる
最も,もっとも
最中,さいちゅう
最低,さいてい
最終,さいしゅう
最高,さいこう
月,つき
月曜,げつよう・げつようび
有る,ある
有利,ゆうり
有効,ゆうこう
有能,ゆうのう
服装,ふくそう
望み,のぞみ
望む,のぞむ
期待,きたい
期間,きかん
木曜/木曜日,もくよう/もくようび
未だ,まだ
未来,みらい
末,すえ
本人,ほんにん
本当,ほんとう・ほんと
本物,ほんもの
札,さつ
材料,ざいりょう
束,たば
条件,じょうけん
来,らい
松,まつ
板,いた
柄,え
柄,がら
栄養,えいよう
株,かぶ
根,ね
格好,かっこう
案,あん
案内,あんない・する
桜,さくら
梅,うめ
梅雨,つゆ
梅雨,ばいう
棒,ぼう
椅子,いす
植物,しょくぶつ
検査,けんさ
検討,けんとう
極,きょく
楽,らく
構う,かまう
構成,こうせい
様,よう
様々,さまざま
様子,ようす
模様,もよう
権利,けんり
横切る,よこぎる
横断,おうだん
機嫌,きげん
機械,きかい
機能,きのう
機関,きかん
欠ける,かける
欠席,けっせき
欠点,けってん
欠陥,けっかん
次々,つぎつぎ
次第,しだい
歌手,かしゅ
歓迎,かんげい
止す,よす
正,せい
正午,しょうご
正式,せいしき
正直,しょうじき
正確,せいかく
武器,ぶき
歩道,ほどう
死亡,しぼう
残す,のこす
残り,のこり
段,だん
殺す,ころす
母親,ははおや
毒,どく
比較,ひかく
毛布,もうふ
氏,し
気に入る,きにいる
気の毒,きのどく
気付く,きづく
気候,きこう
気味,きみ
気温,きおん
水準,すいじゅん
氷,こおり
永久,えいきゅう
永遠,えいえん
求める,もとめる
汗,あせ
汚染,おせん
決まり,きまり
決定,けってい
決心,けっしん
沈む,しずむ
沖,おき
河,かわ
油,あぶら
泉,いずみ
法,ほう
泡,あわ
波,なみ
泥,どろ
注,ちゅう
注ぐ,そそぐ
注ぐ,つぐ
注文,ちゅうもん
注目,ちゅうもく
泳ぎ,およぎ
活動,かつどう
活気,かっき
活用,かつよう
流す,ながす
流れ,ながれ
流れる,ながれる
流行,りゅうこう
浴びる,あびる
海外,かいがい
消費,しょうひ
消防,しょうぼう
涙,なみだ
深刻,しんこく
混乱,こんらん
混雑,こんざつ
清潔,せいけつ
済ませる,すませる
渋滞,じゅうたい
減らす,へらす
減る,へる
温度,おんど
温暖,おんだん
湾,わん
満ちる,みちる
満足,まんぞく
準備,じゅんび・する
溺れる,おぼれる
滅多に,めったに
滞在,たいざい
演奏,えんそう
演技,えんぎ
演説,えんぜつ
激しい,はげしい
濃い,こい
濠,ほり
濡れる,ぬれる
火曜,かよう
火災,かさい
灯,ひ
灰,はい
炎,ほのお
為る,する
為る,なる
無,ぶ
無,む
無し,なし
無事,ぶじ
無料,むりょう
無視,むし
無駄,むだ
煙,けむり
熱中する,ねっちゅうする
熱帯,ねったい
熱心,ねっしん
燃える,もえる
爆発,ばくはつ
父親,ちちおや
牛,うし
物事,ものごと
物価,ぶっか
物理,ぶつり
物語,ものがたり
物質,ぶっしつ
物音,ものおと
特徴,とくちょう
犯人,はんにん
犯罪,はんざい
状態,じょうたい
状況,じょうきょう
狂う,くるう
独り,ひとり
独特,どくとく
独立,どくりつ
独身,どくしん
猿,さる
率,りつ
玉,たま
王,おう
王子,おうじ
王様,おうさま
現す,あらわす
現れ,あらわれ
現れる,あらわれる
現代,げんだい
現在,げんざい
現場,げんば
現実,げんじつ
現状,げんじょう
現象,げんしょう
現金,げんきん
